extract_pdf_text | F:\大三下学期\编译原理\chaper 2 - 词法分析2025.pdf | 成功 | F:\大三下学期\编译原理\chaper 2 - 词法分析2025_extracted.txt
convert_docx_to_pdf | F:\大三下学期\移动应用开发\仓库\Muwu\文件处理\信息科学与工程学院实验报告模版.docx | 失败 | 无输出
convert_word_to_pdf | F:\大三下学期\移动应用开发\仓库\Muwu\文件处理\信息科学与工程学院实验报告模版.docx | 失败 | 无输出
convert_word_to_pdf | F:\大三下学期\移动应用开发\仓库\Muwu\文件处理\信息科学与工程学院实验报告模版.docx | 成功 | F:\大三下学期\移动应用开发\仓库\Muwu\文件处理\信息科学与工程学院实验报告模版.pdf
convert_word_to_pdf | D:/test.docx | 失败 | 无输出
convert_word_to_pdf | D:/test.docx | 失败 | 无输出
convert_word_to_pdf | D:/test.docx | 失败 | 无输出
convert_word_to_pdf | D:/test.docx | 失败 | 无输出
OCR | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 成功 | F:/大三下学期/移动应用开发/仓库/Muwu/image_ocr.txt
OCR | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 成功 | F:/大三下学期/移动应用开发/仓库/Muwu/image_ocr.txt
OCR | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 成功 | F:/大三下学期/移动应用开发/仓库/Muwu/image_ocr.txt
OCR | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 成功 | F:/大三下学期/移动应用开发/仓库/Muwu/image_ocr.txt
is_rich_text | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 失败 | 无输出
is_rich_text | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 失败 | 无输出
is_rich_text | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 失败 | 无输出
is_rich_text | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 失败 | 无输出
is_rich_text | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 成功 | True
ORC | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 失败 | 无输出
OCR | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 成功 | F:/大三下学期/移动应用开发/仓库/Muwu/image_ocr.txt
OCR | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 失败 | 无输出
OCR | F:/大三下学期/移动应用开发/仓库/Muwu/image.png | 成功 | F:/大三下学期/移动应用开发/仓库/Muwu/image_ocr.txt
is_rich_text | F:\大三下学期\移动应用开发\测试文件\100000\QQ_1733990099729.png | 失败 | 无输出
is_rich_text | F:\大三下学期\移动应用开发\测试文件\100000\image.png | 成功 | True
